Data,Hora,Natureza,Idade da Vítima,Corporação,Momento da morte
30/06/2016,17:00:00,HOMICIDIO DOLOSO,50,PM,Em serviço
23/08/2018,13:59:59,HOMICIDIO DOLOSO,50,PM,Fora de serviço
28/07/2020,11:44:59,ROUBO SEGUIDO DE MORTE (LATROCINIO),50,AGEPEN,Fora de serviço
20/08/2016,22:30:00,HOMICIDIO DOLOSO,51,PC,Fora de serviço
03/03/2017,08:30:00,HOMICIDIO DOLOSO,51,PM,Fora de serviço
15/01/2025,04:10:00,HOMICIDIO DOLOSO,51,PM,Em serviço
19/01/2016,07:59:59,HOMICIDIO DOLOSO,53,PM,Fora de serviço
29/07/2018,20:30:00,HOMICIDIO DOLOSO,53,PM,Fora de serviço
08/09/2015,13:30:00,HOMICIDIO DOLOSO,54,PM,Fora de serviço
11/11/2016,18:00:00,HOMICIDIO DOLOSO,54,PM,Fora de serviço
26/05/2024,08:30:00,HOMICIDIO DOLOSO,54,PM,Fora de serviço
16/09/2024,13:28:59,HOMICIDIO DOLOSO,54,PM,Fora de serviço
15/07/2016,10:00:00,HOMICIDIO DOLOSO,55,PM,Fora de serviço
02/09/2017,03:19:59,ROUBO SEGUIDO DE MORTE (LATROCINIO),55,PM,Fora de serviço
10/07/2018,10:00:00,HOMICIDIO DOLOSO,55,PC,Fora de serviço
11/10/2016,06:30:00,HOMICIDIO DOLOSO,56,AGEPEN,Fora de serviço
28/05/2017,07:20:00,HOMICIDIO DOLOSO,57,PM,Fora de serviço
16/08/2023,20:00:00,HOMICIDIO DOLOSO,57,PM,Fora de serviço
23/08/2018,13:59:59,HOMICIDIO DOLOSO,58,PM,Fora de serviço
22/10/2020,22:14:59,HOMICIDIO DOLOSO,58,PM,Fora de serviço
15/03/2024,15:27:59,ROUBO SEGUIDO DE MORTE (LATROCINIO),58,PM,Fora de serviço
26/02/2020,14:30:00,HOMICIDIO DOLOSO,59,PM,Fora de serviço
13/01/2017,22:40:00,HOMICIDIO DOLOSO,60,PM,Fora de serviço
